usage,image_a,image_b,filter_a,filter_b,coresp_filter_a,coresp_filter_b,intensity_a,intensity_b,selected_filter,coresp_selected_filter,selected_intensity,left_right,resptime
yes,Girl1_Clarendon_100.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Juno,Juno,75,right,12.450967
yes,Girl1_Lark_25.jpg,Girl1_Lark_50.jpg,Lark,Lark,Lark,Lark,25,50,Lark,Lark,25,left,7.183007
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,75,100,Clarendon,Clarendon,100,right,0.595828
yes,Girl2_Lark_25.jpg,Girl2_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,25,50,Lark,Lark,25,left,1.420278
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,25,100,Lark,Lark,100,right,0.712883
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,25,75,Clarendon,Clarendon,75,right,0.703916
yes,Girl1_Juno_100.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,100,25,Juno,Juno,100,left,0.898927
yes,Girl1_Clarendon_50.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,75,Clarendon,Clarendon,75,right,0.533282
yes,Girl2_Lark_50.jpg,Girl2_OG.jpg,Lark,OG,Lark,Lark,50,0,OG,Lark,0,right,25.003363
yes,Girl2_Juno_75.jpg,Girl2_Juno_100.jpg,Juno,Juno,Juno,Juno,75,100,Juno,Juno,75,left,0.742177
yes,Girl2_OG.jpg,Girl2_Juno_100.jpg,OG,Juno,Juno,Juno,0,100,OG,Juno,0,left,2.150799
yes,Girl2_Juno_75.jpg,Girl2_Juno_25.jpg,Juno,Juno,Juno,Juno,75,25,Juno,Juno,75,left,0.86555
yes,Girl2_Juno_75.jpg,Girl2_Lark_100.jpg,Juno,Lark,Juno,Lark,75,100,Lark,Lark,100,right,1.526063
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,75,75,Juno,Juno,75,left,0.719314
yes,Girl1_Clarendon_50.jpg,Girl1_OG.jpg,Clarendon,OG,Clarendon,Clarendon,50,0,OG,Clarendon,0,right,0.672854
yes,Girl1_Lark_100.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,Lark,Clarendon,100,75,Lark,Lark,100,left,0.647924
yes,Girl1_OG.jpg,Girl1_Juno_25.jpg,OG,Juno,Juno,Juno,0,25,Juno,Juno,25,right,0.69952
yes,Girl2_Clarendon_100.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,100,75,Clarendon,Clarendon,100,left,0.583266
yes,Girl1_Clarendon_25.jpg,Girl1_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,25,25,Juno,Juno,25,right,0.808441
yes,Girl1_Clarendon_25.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,25,100,Clarendon,Clarendon,25,left,0.518793
yes,Girl2_Juno_50.jpg,Girl2_Lark_75.jpg,Juno,Lark,Juno,Lark,50,75,Juno,Juno,50,left,46.470043
yes,Girl1_Juno_50.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,50,100,Juno,Juno,50,left,116.101209
yes,Girl1_Clarendon_100.jpg,Girl1_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,100,50,Juno,Juno,50,right,1.075738
yes,Girl2_Juno_50.jpg,Girl2_Clarendon_100.jpg,Juno,Clarendon,Juno,Clarendon,50,100,Juno,Juno,50,left,0.785623
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,50,50,Juno,Juno,50,right,0.802534
yes,Girl1_Clarendon_75.jpg,Girl1_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,100,Clarendon,Clarendon,75,left,34.768985
yes,Girl2_Juno_100.jpg,Girl2_Juno_25.jpg,Juno,Juno,Juno,Juno,100,25,Juno,Juno,25,right,0.895416
yes,Girl2_Clarendon_100.jpg,Girl2_OG.jpg,Clarendon,OG,Clarendon,Clarendon,100,0,OG,Clarendon,0,right,0.919432
yes,Girl2_Clarendon_100.jpg,Girl2_Lark_75.jpg,Clarendon,Lark,Clarendon,Lark,100,75,Lark,Lark,75,right,1.058697
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,100,50,Lark,Lark,50,right,0.613134
yes,Girl1_Lark_75.jpg,Girl1_Juno_25.jpg,Lark,Juno,Lark,Juno,75,25,Juno,Juno,25,right,1.143704
yes,Girl2_Lark_100.jpg,Girl2_Clarendon_50.jpg,Lark,Clarendon,Lark,Clarendon,100,50,Clarendon,Clarendon,50,right,1.026894
yes,Girl1_Juno_100.jpg,Girl1_Lark_25.jpg,Juno,Lark,Juno,Lark,100,25,Lark,Lark,25,right,0.66884
yes,Girl2_Lark_75.jpg,Girl2_Lark_50.jpg,Lark,Lark,Lark,Lark,75,50,Lark,Lark,50,right,0.993774
yes,Girl2_Lark_25.jpg,Girl2_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,25,100,Lark,Lark,25,left,0.62001
yes,Girl1_Clarendon_75.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,75,100,Juno,Juno,100,right,0.942256
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,50,50,Lark,Lark,50,right,0.778806
yes,Girl1_OG.jpg,Girl1_Lark_25.jpg,OG,Lark,Lark,Lark,0,25,Lark,Lark,25,right,2.799594
yes,Girl2_Lark_25.jpg,Girl2_Juno_50.jpg,Lark,Juno,Lark,Juno,25,50,Juno,Juno,50,right,0.730004
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,50,100,Lark,Lark,100,right,0.638011
yes,Girl2_Juno_25.jpg,Girl2_Lark_50.jpg,Juno,Lark,Juno,Lark,25,50,Juno,Juno,25,left,1.243094
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,25,50,Clarendon,Clarendon,25,left,1.987603
yes,Girl1_Lark_50.jpg,Girl1_Juno_100.jpg,Lark,Juno,Lark,Juno,50,100,Juno,Juno,100,right,0.487908
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,100,25,Lark,Lark,25,right,1.183279
yes,Girl2_Juno_100.jpg,Girl2_Lark_100.jpg,Juno,Lark,Juno,Lark,100,100,Juno,Juno,100,left,0.744304
yes,Girl2_Lark_25.jpg,Girl2_Juno_25.jpg,Lark,Juno,Lark,Juno,25,25,Juno,Juno,25,right,0.590247
yes,Girl2_Clarendon_50.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,50,50,Clarendon,Clarendon,50,left,0.679887
yes,Girl2_Clarendon_25.jpg,Girl2_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,25,50,Juno,Juno,50,right,0.552124
yes,Girl2_OG.jpg,Girl2_Juno_25.jpg,OG,Juno,Juno,Juno,0,25,Juno,Juno,25,right,0.67919
yes,Girl1_Clarendon_75.jpg,Girl1_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,25,Clarendon,Clarendon,25,right,0.585791
yes,Girl1_Lark_50.jpg,Girl1_OG.jpg,Lark,OG,Lark,Lark,50,0,Lark,Lark,50,left,0.761066
yes,Girl1_Juno_100.jpg,Girl1_Juno_25.jpg,Juno,Juno,Juno,Juno,100,25,Juno,Juno,25,right,1.045815
yes,Girl1_Lark_25.jpg,Girl1_Juno_25.jpg,Lark,Juno,Lark,Juno,25,25,Lark,Lark,25,left,0.982871
yes,Girl2_Lark_100.jpg,Girl2_OG.jpg,Lark,OG,Lark,Lark,100,0,OG,Lark,0,right,0.678308
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,50,25,Lark,Lark,25,right,0.643591
yes,Girl2_Clarendon_50.jpg,Girl2_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,50,100,Juno,Juno,100,right,0.985941
yes,Girl2_Clarendon_75.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,75,25,Juno,Juno,25,right,0.387247
yes,Girl1_Lark_50.jpg,Girl1_Lark_100.jpg,Lark,Lark,Lark,Lark,50,100,Lark,Lark,50,left,0.583791
yes,Girl2_Lark_75.jpg,Girl2_Clarendon_25.jpg,Lark,Clarendon,Lark,Clarendon,75,25,Clarendon,Clarendon,25,right,0.40671
yes,Girl2_Clarendon_50.jpg,Girl2_Clarendon_100.jpg,Clarendon,Clarendon,Clarendon,Clarendon,50,100,Clarendon,Clarendon,50,left,1.359384
yes,Girl2_Clarendon_75.jpg,Girl2_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,75,100,Lark,Lark,100,right,0.58447
yes,Girl2_Juno_75.jpg,Girl2_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,75,75,Juno,Juno,75,left,0.697161
yes,Girl1_Juno_25.jpg,Girl1_Lark_50.jpg,Juno,Lark,Juno,Lark,25,50,Juno,Juno,25,left,0.812157
yes,Girl2_OG.jpg,Girl2_Clarendon_75.jpg,OG,Clarendon,Clarendon,Clarendon,0,75,OG,Clarendon,0,left,0.761333
yes,Girl1_Juno_75.jpg,Girl1_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,0.752103
yes,Girl2_Clarendon_100.jpg,Girl2_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,100,100,Lark,Lark,100,right,0.667205
yes,Girl1_Juno_75.jpg,Girl1_Lark_50.jpg,Juno,Lark,Juno,Lark,75,50,Lark,Lark,50,right,1.114338
yes,Girl1_Juno_75.jpg,Girl1_Juno_50.jpg,Juno,Juno,Juno,Juno,75,50,Juno,Juno,50,right,0.858513
yes,Girl2_Clarendon_75.jpg,Girl2_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,25,Clarendon,Clarendon,25,right,0.9725
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,25,25,Lark,Lark,25,right,0.90716
yes,Girl2_Clarendon_75.jpg,Girl2_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,75,50,Juno,Juno,50,right,1.32895
yes,Girl1_OG.jpg,Girl1_Clarendon_25.jpg,OG,Clarendon,Clarendon,Clarendon,0,25,OG,Clarendon,0,left,1.67509
yes,Girl2_Juno_100.jpg,Girl2_Juno_50.jpg,Juno,Juno,Juno,Juno,100,50,Juno,Juno,100,left,14.936
yes,Girl2_Juno_50.jpg,Girl2_Juno_25.jpg,Juno,Juno,Juno,Juno,50,25,Juno,Juno,25,right,1.265542
yes,Girl1_Lark_75.jpg,Girl1_Lark_25.jpg,Lark,Lark,Lark,Lark,75,25,Lark,Lark,25,right,0.787791
yes,Girl1_Clarendon_75.jpg,Girl1_OG.jpg,Clarendon,OG,Clarendon,Clarendon,75,0,OG,Clarendon,0,right,0.863787
yes,Girl2_Juno_75.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,75,25,Juno,Juno,75,left,0.889482
yes,Girl2_Juno_25.jpg,Girl2_Lark_75.jpg,Juno,Lark,Juno,Lark,25,75,Lark,Lark,75,right,0.562543
yes,Girl2_OG.jpg,Girl2_Juno_50.jpg,OG,Juno,Juno,Juno,0,50,Juno,Juno,50,right,1.443795
yes,Girl1_Lark_100.jpg,Girl1_OG.jpg,Lark,OG,Lark,Lark,100,0,OG,Lark,0,right,0.887985
yes,Girl1_Clarendon_75.jpg,Girl1_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,75,50,Lark,Lark,50,right,1.026398
yes,Girl1_Lark_50.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,50,50,Lark,Lark,50,left,0.920197
yes,Girl2_Clarendon_25.jpg,Girl2_Clarendon_50.jpg,Clarendon,Clarendon,Clarendon,Clarendon,25,50,Clarendon,Clarendon,25,left,0.966572
yes,Girl2_Clarendon_50.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,50,25,Juno,Juno,25,right,0.804515
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,50,75,Juno,Juno,75,right,0.539535
yes,Girl2_Clarendon_50.jpg,Girl2_Lark_75.jpg,Clarendon,Lark,Clarendon,Lark,50,75,Clarendon,Clarendon,50,left,1.895527
yes,Girl2_Juno_50.jpg,Girl2_Clarendon_50.jpg,Juno,Clarendon,Juno,Clarendon,50,50,Juno,Juno,50,left,1.531722
yes,Girl1_Lark_75.jpg,Girl1_Clarendon_75.jpg,Lark,Clarendon,Lark,Clarendon,75,75,Clarendon,Clarendon,75,right,0.761235
yes,Girl2_Clarendon_75.jpg,Girl2_Lark_75.jpg,Clarendon,Lark,Clarendon,Lark,75,75,Lark,Lark,75,right,0.970531
yes,Girl2_Clarendon_50.jpg,Girl2_Juno_75.jpg,Clarendon,Juno,Clarendon,Juno,50,75,Clarendon,Clarendon,50,left,1.249888
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_50.jpg,Juno,Clarendon,Juno,Clarendon,25,50,Clarendon,Clarendon,50,right,0.98803
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_100.jpg,Juno,Clarendon,Juno,Clarendon,25,100,Juno,Juno,25,left,0.636081
yes,Girl1_Lark_75.jpg,Girl1_Lark_50.jpg,Lark,Lark,Lark,Lark,75,50,Lark,Lark,50,right,1.786646
yes,Girl2_Lark_75.jpg,Girl2_Juno_100.jpg,Lark,Juno,Lark,Juno,75,100,Juno,Juno,100,right,2.599788
yes,Girl2_Lark_75.jpg,Girl2_OG.jpg,Lark,OG,Lark,Lark,75,0,OG,Lark,0,right,1.469237
yes,Girl2_Clarendon_50.jpg,Girl2_OG.jpg,Clarendon,OG,Clarendon,Clarendon,50,0,Clarendon,Clarendon,50,left,0.96699
yes,Girl1_Lark_75.jpg,Girl1_Juno_75.jpg,Lark,Juno,Lark,Juno,75,75,Juno,Juno,75,right,0.640402
yes,Girl1_Clarendon_75.jpg,Girl1_Lark_25.jpg,Clarendon,Lark,Clarendon,Lark,75,25,Clarendon,Clarendon,75,left,0.537516
yes,Girl1_Clarendon_100.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,Clarendon,Clarendon,100,50,Clarendon,Clarendon,50,right,0.56035
yes,Girl2_Clarendon_25.jpg,Girl2_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,25,100,Juno,Juno,100,right,1.027116
yes,Girl1_Juno_100.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,100,100,Juno,Juno,100,left,0.927842
yes,Girl1_Clarendon_100.jpg,Girl1_OG.jpg,Clarendon,OG,Clarendon,Clarendon,100,0,OG,Clarendon,0,right,1.004634
yes,Girl2_Juno_75.jpg,Girl2_Lark_50.jpg,Juno,Lark,Juno,Lark,75,50,Juno,Juno,75,left,2.065334
yes,Girl1_Lark_25.jpg,Girl1_Juno_75.jpg,Lark,Juno,Lark,Juno,25,75,Lark,Lark,25,left,0.896159
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,50,100,Juno,Juno,100,right,1.30136
yes,Girl1_OG.jpg,Girl1_Juno_100.jpg,OG,Juno,Juno,Juno,0,100,OG,Juno,0,left,0.573504
yes,Girl2_Clarendon_100.jpg,Girl2_Clarendon_75.jpg,Clarendon,Clarendon,Clarendon,Clarendon,100,75,Clarendon,Clarendon,75,right,2.285081
yes,Girl1_Clarendon_100.jpg,Girl1_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,100,100,Clarendon,Clarendon,100,left,0.656246
yes,Girl1_Juno_50.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,50,75,Juno,Juno,50,left,1.441457
yes,Girl2_Clarendon_25.jpg,Girl2_OG.jpg,Clarendon,OG,Clarendon,Clarendon,25,0,OG,Clarendon,0,right,1.984025
yes,Girl1_Lark_25.jpg,Girl1_Juno_50.jpg,Lark,Juno,Lark,Juno,25,50,Juno,Juno,50,right,1.080149
yes,Girl2_Clarendon_100.jpg,Girl2_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,100,100,Juno,Juno,100,right,0.971951
yes,Girl1_Juno_50.jpg,Girl1_Lark_75.jpg,Juno,Lark,Juno,Lark,50,75,Juno,Juno,50,left,0.714483
yes,Girl2_Lark_25.jpg,Girl2_Clarendon_75.jpg,Lark,Clarendon,Lark,Clarendon,25,75,Lark,Lark,25,left,1.067199
yes,Girl1_Clarendon_50.jpg,Girl1_Lark_75.jpg,Clarendon,Lark,Clarendon,Lark,50,75,Lark,Lark,75,right,0.467324
yes,Girl2_Lark_100.jpg,Girl2_Juno_50.jpg,Lark,Juno,Lark,Juno,100,50,Lark,Lark,100,left,0.590926
yes,Girl1_OG.jpg,Girl1_Lark_75.jpg,OG,Lark,Lark,Lark,0,75,OG,Lark,0,left,0.839084
yes,Girl1_Juno_25.jpg,Girl1_Juno_75.jpg,Juno,Juno,Juno,Juno,25,75,Juno,Juno,25,left,0.629306
yes,Girl1_Juno_100.jpg,Girl1_Lark_75.jpg,Juno,Lark,Juno,Lark,100,75,Lark,Lark,75,right,1.306023
yes,Girl1_Juno_50.jpg,Girl1_Juno_25.jpg,Juno,Juno,Juno,Juno,50,25,Juno,Juno,25,right,0.725597
yes,Girl2_Lark_25.jpg,Girl2_Lark_100.jpg,Lark,Lark,Lark,Lark,25,100,Lark,Lark,25,left,0.832121
yes,Girl2_Juno_100.jpg,Girl2_Lark_25.jpg,Juno,Lark,Juno,Lark,100,25,Juno,Juno,100,left,1.009308
yes,Girl1_Clarendon_25.jpg,Girl1_Juno_50.jpg,Clarendon,Juno,Clarendon,Juno,25,50,Juno,Juno,50,right,0.796577
yes,Girl2_Lark_75.jpg,Girl2_Lark_25.jpg,Lark,Lark,Lark,Lark,75,25,Lark,Lark,75,left,0.688457
yes,Girl2_Juno_25.jpg,Girl2_Clarendon_25.jpg,Juno,Clarendon,Juno,Clarendon,25,25,Juno,Juno,25,left,1.350522
yes,Girl2_Juno_50.jpg,Girl2_Lark_50.jpg,Juno,Lark,Juno,Lark,50,50,Juno,Juno,50,left,1.036732
yes,Girl2_Juno_100.jpg,Girl2_Lark_50.jpg,Juno,Lark,Juno,Lark,100,50,Lark,Lark,50,right,0.820292
yes,Girl2_Juno_75.jpg,Girl2_OG.jpg,Juno,OG,Juno,Juno,75,0,OG,Juno,0,right,0.877442
yes,Girl2_Clarendon_25.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,25,50,Clarendon,Clarendon,25,left,0.603405
yes,Girl1_Lark_100.jpg,Girl1_Juno_75.jpg,Lark,Juno,Lark,Juno,100,75,Juno,Juno,75,right,0.99851
yes,Girl2_Lark_50.jpg,Girl2_Clarendon_100.jpg,Lark,Clarendon,Lark,Clarendon,50,100,Clarendon,Clarendon,100,right,1.276196
yes,Girl2_Clarendon_75.jpg,Girl2_Clarendon_50.jpg,Clarendon,Clarendon,Clarendon,Clarendon,75,50,Clarendon,Clarendon,75,left,0.674631
yes,Girl2_Juno_100.jpg,Girl2_Clarendon_75.jpg,Juno,Clarendon,Juno,Clarendon,100,75,Juno,Juno,100,left,0.945043
yes,Girl1_Clarendon_25.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,Clarendon,Clarendon,25,50,Clarendon,Clarendon,50,right,2.205795
yes,Girl2_Juno_75.jpg,Girl2_Lark_75.jpg,Juno,Lark,Juno,Lark,75,75,Juno,Juno,75,left,2.819137
yes,Girl1_Clarendon_25.jpg,Girl1_Lark_75.jpg,Clarendon,Lark,Clarendon,Lark,25,75,Clarendon,Clarendon,25,left,0.831949
yes,Girl1_Lark_100.jpg,Girl1_Lark_75.jpg,Lark,Lark,Lark,Lark,100,75,Lark,Lark,75,right,0.726704
yes,Girl2_Lark_25.jpg,Girl2_Clarendon_25.jpg,Lark,Clarendon,Lark,Clarendon,25,25,Lark,Lark,25,left,1.051311
yes,Girl1_Juno_75.jpg,Girl1_Juno_100.jpg,Juno,Juno,Juno,Juno,75,100,Juno,Juno,100,right,0.797296
yes,Girl2_Clarendon_25.jpg,Girl2_Lark_100.jpg,Clarendon,Lark,Clarendon,Lark,25,100,Clarendon,Clarendon,25,left,0.761163
yes,Girl1_Lark_25.jpg,Girl1_Lark_100.jpg,Lark,Lark,Lark,Lark,25,100,Lark,Lark,100,right,3.359301
yes,Girl1_Clarendon_100.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,Clarendon,Juno,100,100,Juno,Juno,100,right,1.149613
yes,Girl2_Lark_50.jpg,Girl2_Lark_100.jpg,Lark,Lark,Lark,Lark,50,100,Lark,Lark,50,left,0.979016
yes,Girl2_Clarendon_75.jpg,Girl2_Lark_50.jpg,Clarendon,Lark,Clarendon,Lark,75,50,Lark,Lark,50,right,0.766835
yes,Girl2_Lark_100.jpg,Girl2_Lark_75.jpg,Lark,Lark,Lark,Lark,100,75,Lark,Lark,75,right,1.638193
yes,Girl1_OG.jpg,Girl1_Juno_75.jpg,OG,Juno,Juno,Juno,0,75,Juno,Juno,75,right,0.864851
yes,Girl1_Juno_100.jpg,Girl1_Juno_50.jpg,Juno,Juno,Juno,Juno,100,50,Juno,Juno,50,right,1.108112
yes,Girl1_Juno_25.jpg,Girl1_Lark_100.jpg,Juno,Lark,Juno,Lark,25,100,Juno,Juno,25,left,0.637831
yes,Girl2_Lark_25.jpg,Girl2_Lark_50.jpg,Lark,Lark,Lark,Lark,25,50,Lark,Lark,25,left,1.200413
yes,Girl2_Clarendon_100.jpg,Girl2_Clarendon_25.jpg,Clarendon,Clarendon,Clarendon,Clarendon,100,25,Clarendon,Clarendon,25,right,0.788944
yes,Girl2_OG.jpg,Girl2_Lark_25.jpg,OG,Lark,Lark,Lark,0,25,Lark,Lark,25,right,1.485319
yes,Girl2_Lark_100.jpg,Girl2_Juno_25.jpg,Lark,Juno,Lark,Juno,100,25,Juno,Juno,25,right,0.801062
yes,Girl2_Lark_25.jpg,Girl2_Juno_75.jpg,Lark,Juno,Lark,Juno,25,75,Juno,Juno,75,right,0.881511
yes,Girl2_Clarendon_100.jpg,Girl2_Juno_25.jpg,Clarendon,Juno,Clarendon,Juno,100,25,Juno,Juno,25,right,1.033365
yes,Girl2_Juno_75.jpg,Girl2_Juno_50.jpg,Juno,Juno,Juno,Juno,75,50,Juno,Juno,75,left,0.743196
yes,Girl1_Juno_50.jpg,Girl1_OG.jpg,Juno,OG,Juno,Juno,50,0,Juno,Juno,50,left,0.70636
